Kategoria,Komuna,Qendra_e_votimit,Vendvotimi,Partia111,Partia112,Partia113,Partia114,Partia115,Partia116,Partia117,Partia118,Partia119,Partia120,Partia121,Partia122,Partia123,Partia124,Partia125,Partia126,Partia127,Partia128,Partia129,Partia130,Partia131,Partia132,Partia133,Partia134,Partia135,Partia136,Partia137,Partia138
Rregullt,Deçan,0101,0101/01,0,0,0,0,0,0,0,39,0,0,0,0,0,45,0,0,0,0,4,0,21,0,0,0,0,0,92,0
Rregullt,Deçan,0101,0101/02,0,0,0,0,0,0,0,66,0,0,0,0,0,28,0,0,0,0,0,0,11,0,0,0,0,0,227,0
Rregullt,Deçan,0101,0101/03,0,0,0,0,0,0,0,74,0,0,0,0,0,24,0,0,0,0,1,0,7,0,0,0,1,0,172,0
Rregullt,Deçan,0101,0101/04,0,0,0,0,0,0,0,59,0,0,0,0,2,51,0,0,0,0,7,0,10,0,0,0,0,0,171,1
Rregullt,Deçan,0101,0101/05,0,0,0,0,0,0,1,55,0,0,0,0,0,64,1,0,0,0,8,0,17,0,0,0,0,0,115,0
Rregullt,Deçan,0101,0101/06,0,0,0,0,0,0,0,32,0,0,0,0,0,33,0,0,0,0,0,0,8,0,0,0,0,0,103,0
Rregullt,Deçan,0102,0102/01,0,0,0,0,0,0,0,70,0,0,0,0,0,39,0,0,0,0,0,0,9,0,0,0,0,0,152,0
Rregullt,Deçan,0102,0102/02,0,0,0,1,0,0,0,76,0,0,0,0,0,51,0,0,0,0,4,0,7,0,0,1,1,1,228,3
Rregullt,Deçan,0102,0102/03,0,0,0,0,0,0,0,59,0,0,0,0,0,54,0,0,1,0,0,0,18,0,0,0,0,2,182,0
Rregullt,Deçan,0102,0102/04,0,0,1,0,0,0,0,47,0,0,0,0,0,45,0,0,1,0,0,0,13,0,0,0,0,0,261,0
Rregullt,Deçan,0102,0102/05,0,0,0,0,0,0,0,73,0,0,0,0,0,81,0,0,0,0,2,0,15,0,0,0,0,0,182,0
Rregullt,Deçan,0103,0103/01,0,0,0,0,0,0,0,65,0,0,0,0,0,85,0,1,0,0,2,0,9,0,0,0,0,0,135,0
